"DI","PY","AU","TI","SO","AB","DT","CT","DE","TC","SC"
"10.1117/1.jei.34.1.013047",2025,"ZHU S;WEI L;ZHENG B;TAO X","WEAKLY SUPERVISED ARBITRARY-ORIENTED SHIP DETECTION NETWORK BASED ON DYNAMIC SCALE FEATURE ENHANCEMENT","JOURNAL OF ELECTRONIC IMAGING","THE ADVANCEMENT OF SHIP DETECTION IN REMOTE SENSING IMAGES HAS BEEN GREATLY FACILITATED BY THE ENHANCEMENT OF CONVOLUTIONAL NEURAL NETWORKS. WHEN FACING COMPLEX MARINE SCENES, ORIENTED SHIP DETECTION IS PRACTICAL AND NECESSARY, WHEREAS THE PROCESS OF DEVELOPING FULLY SUPERVISED METHODS IS RESTRICTED BY THE ANNOTATED DATA FOR A ROTATED BOX. THEREFORE, WE PROPOSE A WEAKLY SUPERVISED ORIENTED SHIP DETECTION NETWORK (DSENET) BASED ON DYNAMIC SCALE FEATURE ENHANCEMENT, WHICH TRAINS THE NETWORK WITH ONLY DATA ANNOTATED IN A HORIZONTAL BOX (HBOX). FIRST, WE PROPOSE A DYNAMIC SCALE FEATURE ENHANCEMENT MODULE, WHICH CAN PROVIDE PRECISE SCALE FEATURES OF THE SHIP FOR THE SELF-SUPERVISED (SS) BRANCH AND WEAKLY SUPERVISED (WS) BRANCH VIA FEATURE EXTRACTION, FUSION, AND ADAPTIVE ENHANCEMENT ON MULTIPLE SCALES. NEXT, THE NEURAL ARCHITECTURE SEARCH IS INTRODUCED TO DESIGN THE HEAD MODULE TO FIND THE OPTIMAL STRUCTURE FOR THE OUTPUT LAYERS. IN ADDITION, A CIRCUMSCRIBED SCYLLA INTERSECTION OVER UNION LOSS IS DESIGNED, WHICH GUIDES THE MODEL TO PREDICT SHIP OBJECTS ACCURATELY THROUGH ANGLE-AWARE VECTORS AND ACCELERATES MODEL TRAINING. FINALLY, DSENET IS TRAINED AND VALIDATED ON HRSC2016, DATASET FOR ORIENTED SHIP RECOGNITION (DOSR), AND SAR SHIP DETECTION DATASET DATASETS, RESPECTIVELY. THE EXPERIMENTAL RESULTS INDICATE THAT DSENET ACHIEVES ADVANCED DETECTION AND LIGHTWEIGHT PERFORMANCE IN WS ARBITRARY-ORIENTED SHIP DETECTION. © 2025 SPIE AND IS&T.","ARTICLE",NA,"ARBITRARY-ORIENTED SHIP DETECTION; DEEP LEARNING; REMOTE SENSING IMAGES; WEAKLY-SUPERVISED DETECTION",1,NA
"10.1117/1.jrs.15.044502",2021,"LI J;XU C;SU H;WANG H;YAO L","SHIP DETECTION IN SAR IMAGES BASED ON RECURRENT FEATURE PYRAMID NETWORK AND ROTATABLE BOUNDING BOX","JOURNAL OF APPLIED REMOTE SENSING","SHIP DETECTION IN SYNTHETIC APERTURE RADAR (SAR) IMAGES PLAYS AN IMPORTANT ROLE IN REMOTE SENSING, BUT IT IS STILL FULL OF CHALLENGES IN THE DEEP LEARNING AREA. THE PRIMARY PROBLEM IS THAT SHIPS IN SAR IMAGES HAVE DIFFERENT SIZES AND ORIENTATIONS. THE OFF-THE-SHELF DETECTORS ARE NOT ABLE TO ADAPT TO THE SITUATION. RECURRENT FEATURE PYRAMID NETWORKS ARE PRESENTED TO DETECT SHIPS WITH DIFFERENT SIZES ESPECIALLY THE SMALL ONES. ROTATABLE REGION PROPOSAL NETWORK IS USED FOR LOCATING SHIPS WITH A TIGHTER RECTANGLE. ROTATABLE ANCHORS WITH SIZES, ASPECT RATIOS, AND ANGLES ARE DESIGNED ACCORDING TO THE DISTRIBUTION OF SHIPS IN DATASET. MULTIRATIO REGION-OF-INTEREST POOLING IS USED FOR PROJECTING ARBITRARY-ORIENTED PROPOSALS TO FIXED LENGTH VECTORS. ANGLE-RELATED INTERSECTION-OF-UNIT (ARIOU) IS USED FOR EVALUATING THE INTERSECTION OF ROTATABLE PROPOSALS. ARIOU CAN BE AN INDICATOR FOR NONMAXIMUM SUPPRESSION (NMS) AND ALSO IS USED FOR PREPARING NEGATIVE AND POSITIVE PROPOSALS. A LOSS FUNCTION IS PROPOSED TO COMPUTE LOSS BETWEEN BOUNDING BOXES. THE SINUSOIDAL FUNCTION IS USED FOR SOLVING THE PROBLEM OF UNSTABLE ANGLE. WE ALSO USE A DATASET CALLED SSDD+ (SAR SHIP DETECTION DATASET PLUS) TO EVALUATE DIFFERENT METHODS. EXPERIMENTS BASED ON SSDD+ SHOW THAT OUR METHOD ACHIEVES STATE-OF-THE-ART PERFORMANCE. THE DATASET AND THE CODE WILL BE PUBLIC AT HTTPS://ZHUANLAN.ZHIHU.COM/P/143794468 . (C) 2021 SOCIETY OF PHOTO-OPTICAL INSTRUMENTATION ENGINEERS (SPIE)","ARTICLE",NA,"SAR IMAGES; SHIP DETECTION; ROTATABLE BOUNDING BOX",0,"ENVIRONMENTAL SCIENCES & ECOLOGY; REMOTE SENSING; IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY"
"10.1117/1.jrs.15.044502",2021,"LI J;XU C;SU H;WANG H;YAO L","SHIP DETECTION IN SAR IMAGES BASED ON RECURRENT FEATURE PYRAMID NETWORK AND ROTATABLE BOUNDING BOX","JOURNAL OF APPLIED REMOTE SENSING","SHIP DETECTION IN SYNTHETIC APERTURE RADAR (SAR) IMAGES PLAYS AN IMPORTANT ROLE IN REMOTE SENSING, BUT IT IS STILL FULL OF CHALLENGES IN THE DEEP LEARNING AREA. THE PRIMARY PROBLEM IS THAT SHIPS IN SAR IMAGES HAVE DIFFERENT SIZES AND ORIENTATIONS. THE OFF-THE-SHELF DETECTORS ARE NOT ABLE TO ADAPT TO THE SITUATION. RECURRENT FEATURE PYRAMID NETWORKS ARE PRESENTED TO DETECT SHIPS WITH DIFFERENT SIZES ESPECIALLY THE SMALL ONES. ROTATABLE REGION PROPOSAL NETWORK IS USED FOR LOCATING SHIPS WITH A TIGHTER RECTANGLE. ROTATABLE ANCHORS WITH SIZES, ASPECT RATIOS, AND ANGLES ARE DESIGNED ACCORDING TO THE DISTRIBUTION OF SHIPS IN DATASET. MULTIRATIO REGION-OF-INTEREST POOLING IS USED FOR PROJECTING ARBITRARY-ORIENTED PROPOSALS TO FIXED LENGTH VECTORS. ANGLE-RELATED INTERSECTION-OF-UNIT (ARIOU) IS USED FOR EVALUATING THE INTERSECTION OF ROTATABLE PROPOSALS. ARIOU CAN BE AN INDICATOR FOR NONMAXIMUM SUPPRESSION (NMS) AND ALSO IS USED FOR PREPARING NEGATIVE AND POSITIVE PROPOSALS. A LOSS FUNCTION IS PROPOSED TO COMPUTE LOSS BETWEEN BOUNDING BOXES. THE SINUSOIDAL FUNCTION IS USED FOR SOLVING THE PROBLEM OF UNSTABLE ANGLE. WE ALSO USE A DATASET CALLED SSDD+ (SAR SHIP DETECTION DATASET PLUS) TO EVALUATE DIFFERENT METHODS. EXPERIMENTS BASED ON SSDD+ SHOW THAT OUR METHOD ACHIEVES STATE-OF-THE-ART PERFORMANCE. THE DATASET AND THE CODE WILL BE PUBLIC AT HTTPS://ZHUANLAN.ZHIHU.COM/P/143794468. © 2021 SOCIETY OF PHOTO-OPTICAL INSTRUMENTATION ENGINEERS (SPIE).","ARTICLE",NA,"ROTATABLE BOUNDING BOX; SAR IMAGES; SHIP DETECTION",1,NA
"10.1117/1.jrs.18.046504",2024,"LI W;XU H;SHI F;YUAN L;WEN X","SELF-SUPERVISED NETWORK FOR ORIENTED SYNTHETIC APERTURE RADAR SHIP DETECTION BASED ON SELF-DISTILLATION","JOURNAL OF APPLIED REMOTE SENSING","SHIP DETECTION IS AN IMPORTANT AND CHALLENGING TASK IN THE FIELD OF SYNTHETIC APERTURE RADAR (SAR) IMAGE PROCESSING. RECENTLY, DEEP LEARNING TECHNOLOGIES HAVE YIELDED SUPERIOR PERFORMANCE FOR OBJECT DETECTION IN REMOTE SENSING IMAGES. HOWEVER, IT IS DIFFICULT TO OBTAIN THE LABELS OF SAR IMAGES, WHICH LIMITS THE APPLICATION OF DEEP LEARNING IN SHIP DETECTION FROM SAR IMAGES. TO BREAK THE LIMITATION OF LABEL INFORMATION, WE PROPOSE A SELF-SUPERVISED FRAMEWORK BASED ON SELF-DISTILLATION FOR SHIP DETECTION FROM SAR IMAGES IN THIS PAPER. THE FRAMEWORK CONSISTS OF THREE CORE COMPONENTS: A SELF-SUPERVISED LEARNING PARADIGM UTILIZING KNOWLEDGE DISTILLATION, A DEEP RESIDUAL SHRINKAGE NETWORK (SAR-DRSN) MODEL, AND AN ORIENTED BOUNDING BOXES PROGRESSIVE GENERATION MODEL. THE CORE OF OUR METHOD IS A SELF-SUPERVISED VARIANT OF KNOWLEDGE DISTILLATION, WHICH PROPELS THE DEEP LEARNING PROCESS IN THE ABSENCE OF LABELED DATA. THE SAR-DRSN MODEL EXCELS IN GENERATING HIGH-QUALITY FEATURE MAPS, SIGNIFICANTLY REDUCING THE SPECKLE NOISE. IN ADDITION, WE INTRODUCE AN ITERATIVE STRATEGY FOR THE ACCURATE AND PRECISE DELINEATION OF SHIPS, INVOLVING CONTINUOUS REFINEMENT OF ORIENTED BOUNDING BOXES TO OPTIMIZE SIZE AND ROTATION ANGLE FOR PRECISE SHIP LOCALIZATION. OUR EXPERIMENTS, OBTAINED ON TWO SAR DATASETS, DEMONSTRATE THAT THE PROPOSED METHOD CAN ACHIEVE A SATISFACTORY PERFORMANCE IN SHIP DETECTION WITHOUT REQUIRING ANY LABEL INFORMATION. (C) 2024 SOCIETY OF PHOTO-OPTICAL INSTRUMENTATION ENGINEERS (SPIE)","ARTICLE",NA,"SYNTHETIC APERTURE IMAGE; SHIP DETECTION; SELF-SUPERVISED; ORIENTED BOUNDING BOX",2,"ENVIRONMENTAL SCIENCES & ECOLOGY; REMOTE SENSING; IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY"
"10.1117/1.jrs.18.046504",2024,"LI W;XU H;SHI F;YUAN L;WEN X","SELF-SUPERVISED NETWORK FOR ORIENTED SYNTHETIC APERTURE RADAR SHIP DETECTION BASED ON SELF-DISTILLATION","JOURNAL OF APPLIED REMOTE SENSING","SHIP DETECTION IS AN IMPORTANT AND CHALLENGING TASK IN THE FIELD OF SYNTHETIC APERTURE RADAR (SAR) IMAGE PROCESSING. RECENTLY, DEEP LEARNING TECHNOLOGIES HAVE YIELDED SUPERIOR PERFORMANCE FOR OBJECT DETECTION IN REMOTE SENSING IMAGES. HOWEVER, IT IS DIFFICULT TO OBTAIN THE LABELS OF SAR IMAGES, WHICH LIMITS THE APPLICATION OF DEEP LEARNING IN SHIP DETECTION FROM SAR IMAGES. TO BREAK THE LIMITATION OF LABEL INFORMATION, WE PROPOSE A SELF-SUPERVISED FRAMEWORK BASED ON SELF-DISTILLATION FOR SHIP DETECTION FROM SAR IMAGES IN THIS PAPER. THE FRAMEWORK CONSISTS OF THREE CORE COMPONENTS: A SELF-SUPERVISED LEARNING PARADIGM UTILIZING KNOWLEDGE DISTILLATION, A DEEP RESIDUAL SHRINKAGE NETWORK (SAR-DRSN) MODEL, AND AN ORIENTED BOUNDING BOXES PROGRESSIVE GENERATION MODEL. THE CORE OF OUR METHOD IS A SELF-SUPERVISED VARIANT OF KNOWLEDGE DISTILLATION, WHICH PROPELS THE DEEP LEARNING PROCESS IN THE ABSENCE OF LABELED DATA. THE SAR-DRSN MODEL EXCELS IN GENERATING HIGH-QUALITY FEATURE MAPS, SIGNIFICANTLY REDUCING THE SPECKLE NOISE. IN ADDITION, WE INTRODUCE AN ITERATIVE STRATEGY FOR THE ACCURATE AND PRECISE DELINEATION OF SHIPS, INVOLVING CONTINUOUS REFINEMENT OF ORIENTED BOUNDING BOXES TO OPTIMIZE SIZE AND ROTATION ANGLE FOR PRECISE SHIP LOCALIZATION. OUR EXPERIMENTS, OBTAINED ON TWO SAR DATASETS, DEMONSTRATE THAT THE PROPOSED METHOD CAN ACHIEVE A SATISFACTORY PERFORMANCE IN SHIP DETECTION WITHOUT REQUIRING ANY LABEL INFORMATION. © 2024 SOCIETY OF PHOTO-OPTICAL INSTRUMENTATION ENGINEERS (SPIE)","ARTICLE",NA,"ORIENTED BOUNDING BOX; SELF-SUPERVISED; SHIP DETECTION; SYNTHETIC APERTURE IMAGE",2,NA
"10.1117/12.2625574",2021,"ZHANG L;WANG Y;CHEN W","ARS-DET: AN AXIS-BASED ANCHOR-FREE ROTATION DETECTOR FOR SHIP IN REMOTE SENSING IMAGES","INTERNATIONAL CONFERENCE ON ENVIRONMENTAL REMOTE SENSING AND BIG DATA (ERSBD 2021)","SHIP DETECTION IN REMOTE SENSING IMAGES IS A CHALLENGING AND IMPORTANT TASK. MANY METHODS OF DEEP LEARNING HAVE BEEN WIDELY USED IN THIS FIELD IN RECENT YEARS AND MOST OF THEM RELY ON A LOT OF PREDEFINED ROTATED ANCHOR BOXES, WHICH NOT ONLY LEAD TO INACCURATE ANGLE PREDICTIONS BUT ALSO INTRODUCE EXCESSIVE HYPER PARAMETERS AND HIGH COMPUTATIONAL COST. IN THIS PAPER, WE PROPOSE AN ANCHOR-FREE ROTATION SHIP DETECTOR (ARS-DET) USING AXIS-BASED REPRESENTATION SCHEME TO ADDRESS THESE ISSUES. OUR ARS-DET REGARDS THE DETECTION OF ARBITRARY-ORIENTED OBJECTS AS PREDICTING THE POINTS AT BOTH ENDS OF THE LONGEST AXIS AND WIDTH OF THE OBJECTS. ATTENTION FPN MODEL IS DESIGNED TO CAPTURE MULTI-SCALE AND KEY FEATURES OF ARBITRARY-ORIENTED TARGET. THEN, POINTS ASSIGNMENT AND ORIENTATION CENTER-NESS COMPUTATION ARE PROPOSED TO SCREEN OF POSITIVE SAMPLES ACCURATELY. EXPERIMENTS ON PUBLIC SHIP DATASET HRSC2016 SHOW THAT OUR METHOD ACHIEVES STATE-OF-ART PERFORMANCE ON SHIP DETECTION IN REMOTE SENSING IMAGES.","PROCEEDINGS PAPER","INTERNATIONAL CONFERENCE ON ENVIRONMENTAL REMOTE SENSING AND BIG DATA (ERSBD)","REMOTE SENSING IMAGES (RSIS); SHIP DETECTION; ANCHOR-FREE METHOD; ARBITRARY-ORIENTED OBJECT DETECTION; AXIS-BASED PREDICTION",1,"ENGINEERING; OPTICS"
"10.1117/12.2625574",2021,"ZHANG L;WANG Y;CHEN W","ARS-DET: AN AXIS-BASED ANCHOR-FREE ROTATION DETECTOR FOR SHIP IN REMOTE SENSING IMAGES","PROCEEDINGS OF SPIE - THE INTERNATIONAL SOCIETY FOR OPTICAL ENGINEERING","SHIP DETECTION IN REMOTE SENSING IMAGES IS A CHALLENGING AND IMPORTANT TASK. MANY METHODS OF DEEP LEARNING HAVE BEEN WIDELY USED IN THIS FIELD IN RECENT YEARS AND MOST OF THEM RELY ON A LOT OF PREDEFINED ROTATED ANCHOR BOXES, WHICH NOT ONLY LEAD TO INACCURATE ANGLE PREDICTIONS BUT ALSO INTRODUCE EXCESSIVE HYPER PARAMETERS AND HIGH COMPUTATIONAL COST. IN THIS PAPER, WE PROPOSE AN ANCHOR-FREE ROTATION SHIP DETECTOR (ARS-DET) USING AXIS-BASED REPRESENTATION SCHEME TO ADDRESS THESE ISSUES. OUR ARS-DET REGARDS THE DETECTION OF ARBITRARY-ORIENTED OBJECTS AS PREDICTING THE POINTS AT BOTH ENDS OF THE LONGEST AXIS AND WIDTH OF THE OBJECTS. ATTENTION FPN MODEL IS DESIGNED TO CAPTURE MULTI-SCALE AND KEY FEATURES OF ARBITRARY-ORIENTED TARGET. THEN, POINTS ASSIGNMENT AND ORIENTATION CENTER-NESS COMPUTATION ARE PROPOSED TO SCREEN OF POSITIVE SAMPLES ACCURATELY. EXPERIMENTS ON PUBLIC SHIP DATASET HRSC2016 SHOW THAT OUR METHOD ACHIEVES STATE-OF-ART PERFORMANCE ON SHIP DETECTION IN REMOTE SENSING IMAGES. © 2021 SPIE. ALL RIGHTS RESERVED.","CONFERENCE PAPER",NA,"ANCHOR-FREE METHOD; ARBITRARY-ORIENTED OBJECT DETECTION; AXISBASED PREDICTION; REMOTE SENSING IMAGES (RSIS); SHIP DETECTION",1,NA
"10.1117/12.2626436",2022,"CAO C;WU W;CHEN X;CAO H","FINE-GRAINED REMOTE SENSING TARGET DETECTION WITH ORIENTED BOUNDING BOX BASED ON IMPROVED YOLOV5","PROCEEDINGS OF SPIE - THE INTERNATIONAL SOCIETY FOR OPTICAL ENGINEERING","DEEP LEARNING HAS ACHIEVED GREAT SUCCESS IN THE FIELD OF GENERAL TARGET DETECTION. HOWEVER, REMOTE SENSING TARGET DETECTION HAVE DIFFERENT CHARACTERISTICS FROM GENERAL IMAGE TARGET DETECTION IN MANY ASPECTS. DUE TO THE HIGH ORBIT HEIGHT (USUALLY OVER 500 KM), THE TARGET USUALLY ONLY OCCUPIES A FEW PIXELS, WHICH MAKES IT DIFFICULT TO DETECT. IN ADDITION, TARGETS SUCH AS SHIPS, TRUCKS, ETC. HAVE A LARGE ASPECT RATIO, SO TRADITIONAL ANCHOR DESIGNS ARE DIFFICULT TO COVER COMPLETELY, RESULTING IN FAILURE OF TARGET DETECTION BECAUSE THE INTERSECTION RATIO OF IOU IS LESS THAN THE TYPICAL VALUE OF 0.5. IN ADDITION, SUCH TARGETS ARE USUALLY DENSELY ARRANGED WHEN THEY ARE DOCKED. THE RANDOM IMAGING ANGLE OF SATELLITE CAUSES THE TRADITIONAL HORIZONTAL BOUNDING BOX DETECTION ALGORITHM TO BE UNABLE TO ACCURATELY LOCATE THE TARGET POSITION. AS A RESULT, THE DEEP LEARNING TRAINING PROCESS IS MIXED WITH BACKGROUND INFORMATION AND CANNOT EFFECTIVELY LEARN THE TARGET FEATURES. THEREFORE, THE ORIENTED BOUNDING BOX IS USED FOR LABELING AND TRAINING THE REMOTE SENSING IMAGE. AS A SINGLE-STAGE TARGET DETECTION ALGORITHM AND AFTER SEVERAL VERSIONS OF THE UPDATE, THE DETECTION ACCURACY AND DETECTION SPEED OF THE YOLO SERIES ALGORITHM HAVE BEEN GREATLY IMPROVED COMPARED WITH THE PREVIOUS VERSION. BASED ON THE LATEST VERSION OF THE YOLOV5, THE ALGORITHM IS MODIFIED TO MAKE IT POSSIBLE TO SUPPORT ROTATING TARGET DETECTION. THROUGH THE GAO-FEN COMPETITION OF FINE-GRAINED CLASSIFICATION OF TARGETS SUCH AS AIRPLANES, CARS, AND SHIPS (SUCH AS BOEING737, BOEING747, BOEING777, BOEING787, ETC.), THE AVERAGE CLASSIFICATION MAP VALUE REACHES 22.9235. FOR COMPARISON, THE CIRCUMSCRIBED RECTANGLE OF THE ORIENTED BOUNDING BOX IS TAKEN AS THE HORIZONTAL BOX WHICH IS USED FOR ANOTHER OBJECT DETECTION CALLED YOLOX TRAINING PROCESS, AND THE HORIZONTAL BOX TARGET DETECTION MAP VALUE IS 9.4679. THE AVERAGE CLASSIFICATION MAP VALUE OF THE MODIFIED YOLOV5 ALGORITHM IS 13.4556 HIGHER THAN THE YOLOX-BASED HORIZONTAL BOX TARGET DETECTION MAP VALUE. THE ROTATING BOX TRAINING DATA IS TRAINED WITH ANOTHER OPEN SOURCE CODE CALLED ROTATIONDETECTION PROVIDED BY YANGXUE, THE AVERAGE CLASSIFICATION MAP VALUE OBTAINED IS 21.0232, WHICH IS LOWER THAN THAT OF THE MODIFIED YOLOV5 ALGORITHM BY 1.9003. THEREFORE, THE MODIFIED YOLOV5 ALGORITHM AND THE ORIENTED BOUNDING BOX HAVE CERTAIN ADVANTAGES, WHICH CAN MEET THE NEEDS OF FINE-GRAINED ROTATING TARGET DETECTION IN REMOTE SENSING IMAGES. © 2022 SPIE","CONFERENCE PAPER",NA,"FINE-GRAINED TARGET DETECTION; ORIENTED BOUNDING BOX; REMOTE SENSING; YOLOV5",1,NA
"10.1117/12.2631134",2022,"ZHOU M;LI N;MIAO L;ZHOU H","ARBITRARY-ORIENTED SHIP DETECTION WITH RETINANET EMBEDDED ANGLE VECTOR MODULE","PROCEEDINGS OF SPIE - THE INTERNATIONAL SOCIETY FOR OPTICAL ENGINEERING","AS AN IMPORTANT PART OF OBJECT DETECTION, ROTATED OBJECT DETECTION PLAYS A GREAT ROLE IN MANY VISUAL APPLICATIONS INVOLVING SHIP DETECTION IN REMOTE SENSING IMAGES, ORIENTED SCENE TEXT SPOTTING, AND FACE DETECTION ETC. SINCE THE DIFFERENT DEFINITIONS OF THE ANGLE AND THE PERIODICITY OF THE NUMERICAL ANGLE VALUES, THE ANGULAR BOUNDARY DISCONTINUITY WILL HAPPEN DURING THE MODEL TRAINING WHICH DECREASES THE DETECTION ACCURACY. TO ADDRESS THAT, WE PROPOSE AN ARBITRARY-ORIENTED SHIP DETECTION WITH RETINANET EMBEDDED ANGLE VECTOR MODULE (RETINANET-AVM), WHICH ADDS A NEW ANGLE VECTOR MODULE (AVM), IMPROVES THE BOXES LOCALIZATION LOSS FUNCTION AND APPLIES A NEW BOXES ANGLE LOSS FUNCTION. AT FIRST, THE NUMERICAL ANGLE VALUES WILL BE ENCODED INTO ANGLE VECTORS BY THE AVM BEFORE DATA TRAINING. AFTER THE TRAINING, THE ANGLE VECTORS WILL BE DECODED INTO NUMERICAL ANGLE VALUES TO GENERATE THE BOUNDING BOXES OF THE FINAL RESULTS BY THE AVM. ON THE HRSC2016 DATASET, RETINANET-AVM COULD DETECT THE ARBITRARY-ORIENTED, LARGE ASPECT RATIO AND DENSELY ARRANGED SHIPS WITH THE ROTATED BOUNDING BOXES, AND THE PRECISION IS 90.76%, THE RECALL IS 89.66% AND THE AVERAGE PRECISION (AP) IS 86.71%. COMPARED WITH THE RETINANET-H, OUR MODEL HAS IMPROVED ACCURACY, RECALL AND AP BY 4.88, 1.47, AND 3.9, RESPECTIVELY. AND COMPARED WITH R2CNN, RRPN AND RRD, OUR MODEL IS STILL COMPETITIVE. © 2022 SPIE.","CONFERENCE PAPER",NA,"ANGLE LOSS FUNCTION; ANGULAR BOUNDARY DISCONTINUITY; ARBITRARY-ORIENTED SHIP DETECTION; RETINANET-AVM",0,NA
"10.1117/12.3059432",2025,"DING C;WEN Z;MONTH = A","EDGE-AWARE FEATURE LEARNING FOR FINE-GRAINED SHIP DETECTION IN HIGH-RESOLUTION SATELLITE IMAGES",NA,"FINE-GRAINED SHIP DETECTION IN HIGH-RESOLUTION SATELLITE IMAGERY IS CRITICAL FOR MARITIME APPLICATIONS SUCH AS SPILL PREVENTION, TRAFFIC CONTROL, AND SEA RESCUE. HOWEVER, THE TASK IS COMPLICATED BY CHALLENGES LIKE COMPLEX BACKGROUNDS, INTRA-CLASS SIMILARITY, AND VARIABLE SHIP ASPECT RATIOS. IN THIS PAPER, WE PROPOSE BALF, A NOVEL OBJECT DETECTION NETWORK THAT INTEGRATES EDGE-GUIDED FEATURE EXTRACTION AND LOCAL FEATURE INTERACTION TO IMPROVE DETECTION ACCURACY. BALF ENHANCES ATTENTION TO FINE DETAILS BY COMBINING TRADITIONAL EDGE DETECTION WITH DEEP LEARNING, CAPTURING SUBTLE OBJECT FEATURES AND INTERACTIONS WITHIN ROIS FOR IMPROVED RECOGNITION. EXPERIMENTAL RESULTS ON THE SHIPRS AND MCSD DATASETS DEMONSTRATE THAT BALF ACHIEVES SUPERIOR PERFORMANCE, SIGNIFICANTLY OUTPERFORMING STATE-OF-THE-ART METHODS IN FINE-GRAINED SHIP DETECTION.",NA,NA,NA,0,NA
"10.1117/12.3067244",2025,"ZHANG Z;MONTH = M","AN IMPROVED LIGHTWEIGHT SHIP DETECTION MODEL BASED ON YOLOV8",NA,"IN RECENT YEARS, THE PROGRESS IN THE FIELD OF DEEP LEARNING HAS BEEN NOTHING SHORT OF EXTRAORDINARY, PROMPTING AN ESCALATING TREND IN RESEARCH DEDICATED TO THE IDENTIFICATION OF SHIPS IN SATELLITE IMAGERY. THIS TECHNOLOGY IS ESSENTIAL FOR VARIOUS MARITIME APPLICATIONS, INCLUDING SAFETY AT SEA, RESCUE OPERATIONS, AND THE MANAGEMENT OF SHIPPING FLEETS. CONSEQUENTLY, THERE IS A SIGNIFICANT DEMAND FOR MODELS THAT CAN DELIVER HIGH PRECISION, OPERATE IN REAL-TIME, AND ARE ADAPTABLE TO DIFFERENT SCENARIOS. THIS STUDY INTRODUCES A REFINED VERSION OF THE ALGORITHM, DRAWING INSPIRATION FROM YOLOV8—YOLOV8-SD. WE HAVE ENHANCED THE BACKBONE, NECK, AND HEAD PARTS OF THE YOLOV8 MODEL, ACHIEVING LIGHTWEIGHT WHILE ENHANCING THE MODEL'S DETECTION PRECISION. THE SPECIFIC IMPROVEMENTS WILL BE EXPLAINED IN THE METHODS SECTION. THE DATASET UTILIZED IN THIS PAPER IS THE SHIP PART OF WHU-RSONE-OBB. AFTER 300 TRAINING EPOCHS, COMPARED WITH YOLOV8N, GFLOPS DECREASED FROM 8.7 TO 6.9, AND MAP50 INCREASED FROM 89.7 TO 94.8.",NA,NA,NA,0,NA
"10.1145/3503047.3503068",2022,"QU X;LONG E;LV S;CHEN P;LAI G;YANG Y;DU J;MONTH = J","SHIP DETECTION METHOD BASED ON SCALE MATCHED R3DET",NA,"GIVEN THEIR HIGH DETECTION RATES AND LOW FALSE ALARM RATES, OBJECT DETECTION NEURAL NETWORKS BASED ON DEEP LEARNING HAVE BEEN WIDELY USED IN SHIP DETECTION. HOWEVER, THE DETECTION IN REAL-WORLD SCENARIO WITH COMPLEX BACK GROUND REMAINS A CHALLENGE IN MARINE DYNAMIC SHIP DETECTION, WHOSE PERFORMANCE IS LIMITED BY THE SCALE OF TRAINING DATASETS, WHERE TRAINING A MODEL WITH HIGH-PERFORMANCE USUALLY REQUIRES A LARGE NUMBER OF MULTI-SCALE DATASETS. HOWEVER, IT IS DIFFICULT TO OBTAIN A LARGE-SCALE DATASET IN SUCH CASES. IN ADDITION, R3DET SOLVES THE PROBLEM THAT THE VERTICAL AND HORIZONTAL RATIO OF THE OBJECT TO BE DETECTED IS LARGE, THE OBJECTS TO BE DETECTED ARE DENSELY ARRANGED, AND CATEGORY ASYMMETRY OF OBJECTS TO BE DETECTED HAVE BEEN WIDELY CONCERNED. HOWEVER, R3DET USES THE NEAREST NEIGHBOR INTERPOLATION TO UP-SAMPLING THE IMAGE, WHICH LEADS TO A BLOCKY EFFECT OF THE IMAGE WITH A CERTAIN PROBABILITY, WHICH AFFECTS THE OBJECT DETECTION. IN ORDER TO ALLEVIATE THESE PROBLEMS, WE PROPOSE A NEW MODEL CALLED “REFINED SINGLE-STAGE DETECTOR WITH FEATURE REFINEMENT FOR ROTATING OBJECT BASED ON SCALE-MATCH”. THE NEW PRE-TRAINING STRATEGY OF SCALE MATCH AND IMPROVED FEATURE PYRAMID NETWORK (IFPN) WERE INTRODUCED. THE METHOD NOT ONLY EXPANDS THE TRAINING DATA SAMPLE SET, BUT ALSO IMPROVES THE CLARITY OF TRAINING PICTURES, AND IMPROVES THE SHIP DETECTION RATE AND REDUCE THE FALSE ALARM RATE. EXPERIMENTS WITH DOTAV1.5 AND HIGH-RESOLUTION DATASETS SHOWED THAT THE SHIP DETECTION RATE AND FALSE ALARM RATE ARE BETTER THAN BASELINE METHODS.",NA,NA,NA,0,NA
