ID,Year,Month,Authors,ImpModel,Title,Journal,ReviewOrResearch,ModelClass,ModelBase,ModelBackbone,ModelNeck,ModelHead,ModelInputSize,Dataset,SpacialResMin,SpacialResMax,SpectralRes,ImageSize,ImageProcessing,Hardware,Strengths,Weaknesses,Code,Small
43,2024,2,Hu et al,YOLOv5,DL techniques for extraction of lit fishing vessels,ScienceDirect,research,one stage,YOLOv5s,CSPDarknet,FPN + PANet,YOLOv5 detection head with an added 160×160 small-target detection layer,128×128,LUOJIA(custom),130,130,Single-band nighttime light,128×128,Single-band nighttime light converted to tri-band via image stretching; Square-root stretching; Tri-band synthesis; Normalization; Mosaic augmentation,Intel Xeon Silver 4210R 32 GB RAM NVIDIA Tesla V100 Ubuntu 18.04 CUDA 10.2,"Precision 0.966, Recall 0.930, mAP@0.5 0.931; strong robustness; large improvement over vanilla YOLOv5s; small-target detection performance",Requires tri-band reconstruction of single-band data; higher preprocessing complexity; small dataset; YOLOv5 architecture is outdated compared to YOLOv7/YOLOv8,https://github.com/echo20229/luojia_01,TRUE
44,2023,9,Ying et al,3WM AugNet,A Feature Augmentation Network for RS Ship Detection Based on Three Way Decisions and Multigranularity,IEEE TGRS,research,one stage,S2ANet,ResNet-50;ResNet-101,MFAM (Multigranularity Feature Augmentation Module: BF2L + ACA),S2A-Net head: FAM (feature alignment) + ODM (orientation detection module),512×512,FGSD2021/HRSC2016/UCAS-AOD,NA,NA,NA,FGSD2021: 157–7789; HRSC2016: 300×300–1500×900; UCAS-AOD: NA,Resizing,2× NVIDIA Tesla V100 32 GB for training/1× Tesla V100 for testing,"State-of-the-art mAP: 89.45% (FGSD2021), 90.60% mAP07 & 96.94% mAP12 (HRSC2016), 89.33% mAP07 (UCAS-AOD); excellent performance on blurred and small ships via MFAM and BCDM",Increased complexity due to blur-classification preprocessing; MFAM adds computation; Not always top on VOC2012 metric,not provided,TRUE
45,2023,9,Tian et al,LMSDNet,A Lightweight and High Performance Ship Detection Network for Optical RS Images,Remote Sens,research,one stage,YOLOv5,ELA-C3,"Improved FPN/PANet with NCC (New Channel Compensation), IGCM (Improved Ghost Conv), and micro-fusion blocks",YOLO head with newly added high-resolution P2 detection layer for small ships,640×640,VRS-SDv2/MASATI,NA,NA,NA,VRS-SDv2:512x512;MASATI:512x512,NA,NVIDIA RTX 3090 24 GB,"Lightweight. Low computational complexity. Reach 81.3% at AP@50 and 38.4% at AP@50:95 in VRS-SD v2, while with only 5.5M parameters and 12.8 GFLOPs. Among the existing lightweight detectio models, LMSD-Net has better detection capability for small and tiny ships and achieves SOTA performance",Backbone very lightweight → weaker deep semantics; detection degrades for crowded overlapping small ships; lacks oriented detection.,https://github.com/gdut-chenming/LMSD-YOLO,TRUE
46,2023,9,Liu et al,YOLOv5s,Improved YOLOv5s for Small Ship Detection With Optical RS Images,IEEE GRSL,research,one stage,YOLOv5s,YOLOv5s CSPDarknet with Coordinate Attention (CA),"Improved FPN + PAN with added skip connections (IPNH), HSPP replaces SPP",YOLOv5s head with added 160×160 shallow feature map,512×512,OSSD/LEVIRShip,NA,NA,NA,OSSD:20000×20000;LEVIR-Ship:NA,Changing brightness; Adding noise; Rotating; Mirroring; Blurring,NVIDIA GeForce RTX 3070 8 GB 31.7 GB RAM,"OSSD: Precision 95.85%, Recall 90.21%, AP 90.20 (best overall). LEVIR-Ship: AP 76.86 (best). Strong small-ship detection via HSPP, CA, EIOU, improved neck/head.",FPS (82) slightly lower than YOLOv5s and DRENet; additional modules increase complexity; requires anchor retraining.,https://github.com/wenjieo/Improved-YOLOv5s-for-small-ship-detection,TRUE
47,2023,8,Song et al,YOLOv5s,Ship detection in haze and low light RS images via colour balance and DCNN,AOR,research,one stage,YOLOv5s,CSP (Cross Stage Partial Networks);CBL (a Convolution layer a Batch Normalization layer and an activation function layer LeakyRelu) and SPP (Spatial Pyramid Pooling),FPN,NA,NA,HRSC2016/DIOR,NA,NA,NA,NA,NA,NA,Practical method for ship detection under complex backgrounds. mAP of the improved YOLO-v5s model SplitShuffle+de_haze was 95.27% and 78.86% outperforming existing ship detection models on the HRSC2016 and DIOR datasets,Ships that may be sheltered by other vessels or objects.,not provided,FALSE
48,2023,8,Chen et al,KRNet,Arbitrary oriented ship detection based on Kullback Leibler divergence regression in RS images,Earth Sci Inform,research,one stage,RetinaNet,ResNet-50,RFF-Net (Reinforced Feature Fusion Network) with CAM (Coordinate Attention Module) + FPN (P3–P7),NA,800×800,HRSC2016/DOTAShip,NA,NA,NA,HRSC2016: 300×300–1500×900; DOTA Ship: 800×800–4000×4000,Random flip; Random rotation; Random scaling; Cropping,Intel Core i7-10700F NVIDIA RTX 3070 32 GB RAM,HRSC2016: AP = 89.87% at 19.7 FPS; DOTA Ship: AP = 83.62%. Performs for small and densely arranged nearshore ships; robust angle regression via KLD,More complex than standard RetinaNet; CAM and OIM increase computational cost slightly; training requires careful tuning of KLD parameters.,not provided,TRUE
49,2023,7,Si et al,YOLOv5RSSD,Maritime Ship Detection Method for Satellite Images Based on Multiscale Feature Fusion,IEEE JSTAEORS,research,one stage,YOLOv5,CSPDarknet with SE attention inserted after the 2nd CBL+C3 block,Improved BiFPN (cross-layer weighted FPN/PAN fusion),Standard YOLOv5 head (3-scale detection),640×640,KaggleRemoteSensingShipDetection,NA,NA,NA,768×1768,Resizing; Mosaic image enhancement; Random affine; Augment HSV; Random horizontal flip,Intel i9-10900X CPU NVIDIA GTX 3080 Ti 12 GB Ubuntu 11.7,"mAP = 96.1% (↑4.3% over YOLOv5); improved small-ship, dense-ship, fog-scene detection; higher confidence distribution; strong generalization (DOTA mAP gains)","Some targets in remote sensing images may be even smaller and in complex background images the targets may be blurred or distorted, making it difficult for the detector to detect them correctly",not provided,TRUE
50,2023,4,Qiu et al,YOLFShipPnet,With Pyramid Vision Transformer,IJCIS,research,one stage,RetinaNet,PVTv2 (B5 depth variant),Feature Pyramid Network (FPN),RetinaNet head: classification subnet + oriented box regression subnet (rotated bounding boxes),800×800,HRSC2016;SSDD,NA,NA,NA,HRSC2016:300×300-1500×900; SSDD: ~500×500,YOLOX HSV augmentation; Color jitter; Random hue/saturation/value shifts; Random scaling,12-core Intel Xeon Platinum 8255C RTX 2080 Ti CUDA 10.2,"HRSC2016: mAP = 0.5813 (↑5.22% over baseline). SSDD: mAP = 0.7697 (↑5.46%). Strong fine-grained detection (+10.03% over baseline), improved robustness to lighting and color variance.",Deeper PVTv2 increases computation; HSV augmentation may be insufficient in some scenarios; transformer backbone heavier than CNN alternatives.,not provided,FALSE
51,2023,4,Cui et al,IGWD,Optical RS Ship Object Detector Based on Improved GWD,IEEE EEBDA,research,one stage,GWD,ResNet-152 with DCN (Deformable Convolutional Network),NA,One-stage rotated detector head with GWD-based regression,NA,HRSC2016,0.4,2.0,NA,300×300-1500×1500,Cutout augmentation,Ubuntu 18.04 RTX 2080 Ti 11 GB 12-core CPU CUDA 10.2 cuDNN 10.2,"mAP improves by 7.05% after adding Cutout, DCN, and deeper ResNet; strong performance on rotated and occluded ships",High computational cost due to ResNet-152 + DCN; no multi-dataset evaluation; mainly improves large-ship detection,not provided,FALSE
53,2023,3,Lechen,ISNet,Improved Ship Detector,IEEE ISPCEM,research,one stage,RetinaNet,ConvNeXt,"FPN (P3–P7 feature pyramid, RetinaNet-style)",RetinaNet detection head with KLD-based oriented bounding-box regression,NA,HRSC2016,0.4,2.0,NA,300×300-1500×900,NA,Ubuntu 18.04 RTX 2080 Ti 11 GB 12-core CPU CUDA 10.2 cuDNN 7.5,"mAP improved from 0.518 (baseline) → 0.596 (ConvNeXt+KLD). Outperforms R3Det(SmoothL1) and R3Det(GWD). Strong detection of rotated, densely arranged ships.",ConvNeXt backbone increases computation; single dataset evaluation; no explicit enhancements for small ships.,not provided,FALSE
54,2023,1,Zalukhu et al,YOLOv5x6,Marine Vessels Detection on Very High Resolution RS Optical Satellites using Object Based DL,IEEE COMNETSAT,research,one stage,YOLOv5x6,CSPDarknet with additional CSP blocks,SPPF + PANet,YOLO detection head,640×640,ShipRSImageNet,0.3 m (from xView WorldView-3 subset),NA,NA,930×930,Resizing,Google Colab (GPU unspecified),"Precision 78.32%, Recall 72.27%, mAP@0.5 = 75.18%, mAP@0.5:0.95 = 66.36%; strong performance across 50 ship categories; good multi-object detection",Very long training time (1 week); heavy architecture (YOLOv5x6); performance still leaves room for improvement; high computational cost,not provided,TRUE
55,2022,12,Zhang et al,NA,Highly Adaptive Ship Detection Based on Arbitrary Quadrilateral Bounding Box,IEEE ICUS,research,one stage,YOLOv3,Darknet-53 (first 5 blocks retained),FPN + CBAM (channel & spatial attention),YOLOv3 head modified to output 4-vertex quadrilateral (8 parameters) + class + confidence,NA,HRSC2016/DOTAShip,NA,NA,NA,HRSC2016: 300×300–1500×900,Random flip; Rotation; Translation; Brightness/contrast adjustments,Intel i7-10750H CPU 32 GB RAM NVIDIA GTX 1650 GPU,"HRSC2016: AP = 87.8%, Prec = 41.9%, Recall = 93.7%. DOTA-Ship: AP = 76.8%. Strong dense-ship detection; quadrilateral boxes reduce occlusion and improve orientation accuracy; real-time on Jetson TX2.",Accuracy optimization limited; convergence slow; GIoU + 8-parameter regression increases complexity; performance depends on well-sorted quadrilateral vertices,not provided,TRUE
56,2022,12,Zhang et al,FRSNet,An Efficient Ship Detection Network for Thin Cloud and Fog Covered High Resolution Optical Satellite Imagery,IEEE JSTAEORS,research,one stage,NA,CSPDarknet53-Tiny,FPN (two-scale fusion: 26×26 and 52×52 feature maps),YOLO-style prediction head (2 detection scales) with optimized anchor boxes,416×416,SDIOR,0.5 m (GSD),30 m (GSD),RGB,800×800,Dark channel fog simulation (9 fog levels); Random splits; Resizing,Ubuntu NVIDIA RTX 3060 GPU CUDA,"mAP@0.5 = 43.20%, FPS = 423, SP = 51.60; maintains a certain detection ability in the fog remote sensing ship task and has a fast inference speed","Compared with state-of-the-art methods, it can better meet the needs of practical application scenarios",not provided,TRUE
57,2022,12,Liu et al,MSOA,Moving Ship Optimal Association for Maritime Surveillance Fusing AIS and Sentinel 2 Wake Data,IEEE TGRS,research,one stage,YOLOv5,CSPDarknet,FPN + PANet,Standard YOLOv5 detection head (3 detection scales),NA,S2MSD/S2SWD/AIS,10,10,NA,NA,NA,NA,"Combining position and motion information. Able to perform the simultaneous alignments of representation, time, and position in the context of heterogeneous Sentinel-2 and AIS data fusion. According to our experimental results, the proposed MSOA method can associate the detected ships from Sentinel-2 imagery with the AIS tracks with high precision and robust performance","The extracted information has certain uncertainty due to the constraints of different methods for feature extraction. The detection and feature extraction of small ships is difficult, limited by the 10 m spatial resolution of Sentinel-2 imagery",not provided,FALSE
58,2022,10,Zhou et al,YOLOv4,Ship Target Detection in Optical RS Images Based on Multiscale Feature Enhancement,CIN,research,one stage,YOLOv4,CSPDarknet-53,SPP + PANet with enhanced multiscale feature fusion,Standard YOLOv4 detection head (3-scale detection),416×416,LEVIRShip/NWPUVHR-10,NA,NA,NA,LEVIRship: 600x800;NWPU VHR-10:NA,NA,RTX3060 GPU,nAP 94.17 on NWPU VHR-10. Accuracy of the proposed algorithm improved compared with YOLO v4. Results on the NWPU VHR-10 dataset show that the proposed algorithm achieves a 3.56% improvement in the ship category compared to the baseline network.Multiscale enhancement.,NA,not provided,TRUE
59,2022,10,Li et al,R3Det,A New Ship Detection Algorithm in Optical RS Images Based on Improved R3Det,Remote Sensing,research,one stage,R3Det,ResNet50,NAS-FPN + ECA attention + COT (context enhancement with deformable & dilated conv),R3Det refined regression and classification subnets (oriented bounding boxes),800 × 800,FAIR1M,NA,NA,NA,NA,Get dark channel diagram; Get Atmospheric light intensity; Get projection rate; Guided filtering; Corrected image,NA,"Improved model achieves mAP = 0.66 on FAIR1M (↑ over R3Det baseline). Optimize the fusion effect of multistage features to better detect targets of different scales. Improvement especially on small ships (e.g., Fb +22.5% AP).","still a certain gap between the ship target detection model constructed in this paper and the actual application scenario. The actual remote sensing images acquired by satellites usually contain a large number of sea surface and land backgrounds. It is inefficient to directly detect ship targets in the images, and it has high requirements for data storage space and data transmission",not provided,TRUE
60,2022,9,Wang et al,SA,The Saliency Adjusted Deep Network for Optical Satellite Image Ship Detection,IEEE IGARSS,research,one stage,YOLOv4,CSPDarknet-53 with partial layers replaced by SAConv,SPP + PANet,YOLOv4 three-scale detection heads (CIOU loss),512×512,Nan-HaiGF-1,2,2,Panchromatic GF-1 imagery,18192×18000 px; cropped to 512×512,NA,NVIDIA GeForce RTX 3090 Ti 12 GB,"mAP = 91.42%, Precision = 91.88%, Recall = 88.76; outperforms Faster R-CNN, SSD, YOLOv3, YOLOv4 on Nan-Hai dataset",Small number of ships darker than background still missed; slight increase in computation from SDSL and SAConv,not provided,TRUE
61,2022,8,Qin et al,DSANet,An Improved Attention Guided Network for Arbitrary Oriented Ship Detection in Optical RS Images,IEEE GRSL,research,one stage,YOLOv4,"CSPDarknet-53 + CLM (Contextual Location Module, spatial attention)","PANet + GCM (Global Channel Module, channel attention)",Rotated YOLOv4 head with SkewCIoU loss for oriented bounding boxes,608×608x3,HRSC2016,NA,NA,RGB,NA,Channels uniformly segmented into a large number of grid cells to achieve end-to-end detection of ship targets,NVIDIA Tesla A100 80 GB,"AP0.5 = 90.41%, AP in inshore scenarios = 90.18%, FPS = 27.8; outperforming SOTA including R3Det, S2ANet, ROI-Transformer",CLM and GCM introduce extra computation; not lightweight; only evaluated on a single dataset,not provided,FALSE
62,2022,7,Patel et al,compYOLOv5,DL based automatic detection ships,JournalOfImaging,research,one stage,YOLO family comparison (YOLOv3/YOLOv4/YOLOv5),CSPDarknet53(YOLOv4/YOLOv5);Darknet53(YOLOv3),PANet(YOLOv4/YOLOv5);FPN(YOLOv3),Standard YOLO head (3-scale),416×416,KaggleShipsNet/KaggleAirbusShip,NA,NA,RGB,Shipsnet:80×80; Airbus:768×768,Resizing; Axis flip correction,Intel i5-8250U NVIDIA TITAN XP 12GB training also on Google Colab Tesla P100 16GB,"YOLOv5 mAP = 0.65, F1 = 0.61 (best among three); YOLOv4 mAP = 0.61; YOLOv3 mAP = 0.49",Limited to 10k images due to memory; YOLOv3 struggles with small objects; YOLOv5 slightly slower than YOLOv3,not provided,TRUE
63,2022,6,Chen et. al,DRENet,Based Method for Tiny Ship Detection in RS Images,IEEE TGRS,research,one stage,YOLOv5s,YOLOv5s CSPDarknet + DRE modules,FPN,YOLOv5 detection head (three-scale) + CRoss-stage Multi-head Attention(CRMA),512x512,LEVIRShip,16,16,RGB,10000×10000;50000×20000,Resizing,NVIDIA Tesla V100 GPU,"Considering the computation and complexity, achieves good performance even in the downsampled version of the existing HR dataset. Focused for tiny ships. Experiments on LEVIR-Ship verify that our proposed DRENet has higher detection accuracy and ensures real-time detection speed at the same time compared with other state-of-the-art detection methods",Not evaluate with other datasets.,https://github.com/WindVChen/DRENet,TRUE
64,2022,5,Xu et al,LMO,A Ship Detection Model for Low Resolution Optical Satellite Imagery,IEEE JSTAEORS,research,one stage,YOLOv4,CSPDarkNet53 + Multiscale Dilated Convolution (MDC) blocks,SPP + FPN + PAN (same as YOLOv4),Three-scale YOLO detection heads (same as YOLOv4),512×512,GF-1 WFV;GF-1 PMS,GF-1 WFV:16; GF-1 PMS:8,GF-1 WFV:16; GF-1 PMS:8,GF-1 WFV:0.45-0.52um; GF-1 PMS:0.77-0.89um,Original large images; sliced to 512×512 with 15% overlap; ships between 8–35 pixels,NA,NVIDIA GeForce RTX 3090 16 GB,AP = 92.32% (WFV) and 93.07% (PMS); improved recall (+4.31%) and AP (+4.63%) vs. baseline YOLOv4. Able to detect small ships is low-resolution imagery,Fails for ships heavily covered by thick clouds; sensitive to clutter and broken clouds; not the fastest model,not provided,TRUE
65,2022,4,Wen et al,MSSSD,multi scale single shot detector for ship detection in RS images,Appl Intell,research,one stage,SSD,VGG-16(ASDC);ResNet-101(COCO),Encoder–decoder with multi-scale cross-skip connections (MC); no FPN,SSD-style multiscale detection heads + segmentation branch for DM,300×300/321×321,KaggleAirbusShip/MSCOCO2017,NA,NA,RGB,NA,NA,8 × NVIDIA RTX 1080 Ti GPUs 88 GB RAM,AP = 71.0% on ASDC; strong improvement vs SSD baseline (AP +6.5%); much better small-object performance (+18% over SSD); competitive mAP (36.69%) on COCO,"Slower than SSD, FSSD, DSSD; increased computational cost due to encoder–decoder, segmentation branch, deep supervision",not provided,TRUE
66,2022,4,Su et al,DCNDarknet25,Detect Larger at Once Large Area RS Image Arbitrary Oriented Ship Detection,IEEE GRSL,research,one stage,YOLO,DCNDarknet25 (lightweight Darknet with deformable convolutions); CSPDarknet25 (ablation),SPP + PANet-like bidirectional feature pyramid (with DCN_CSP modules),"Three-scale YOLO head with non-angle rotation regression (x, y, w, h, OH, OV)",800×800x3/10000x10000x3,HRSC2016/LARS,HRSC2016:0.4;LARS:0.8,HRSC2016:0.4;LARS:0.8,RGB,HRSC2016:300×300-1500×900;LARS:10000×10000,Resizing ; Mosaic augmentation; Random scale; Random crop,Intel Xeon Silver 4210 NVIDIA RTX 2080Ti 11 GB RAM 32 GB,HRSC2016: mAP ≈ 89.3%; LARS: higher accuracy and faster speed than sliding-window methods; can detect entire 10k×10k image at once; only 6.5M params and 12.0 GMACs,Accuracy slightly lower than CSL; deformable convolutions increase complexity; optimized mainly for rotation detection rather than very small targets,not provided,FALSE
67,2022,4,Anusha et al,YOLOv3,Region based Detection of Ships from RS Satellite Imagery using DL,IEEE ICIPTM,research,one stage,YOLOv3,Darknet-53 (standard YOLOv3),NA,YOLOv3 three-scale detection heads,NA,KaggleAirbusShip,NA,NA,NA,NA,NA,NA,Accuracy = 96.4%; Precision = 0.9769; Recall = 0.9541; F1-score = 0.9643; good performance on noise and environmental variation,No oriented bounding boxes; relies on simple preprocessing; lacks evaluation on real satellite resolutions; dataset contains many near-duplicate synthetic samples,not provided,FALSE
68,2021,11,Xue et al,WakeNet,Rethinking Automatic Ship Wake Detection State of the Art CNN Based Wake Detection via Optical Images,IEEE TGRS,research,one stage,RetinaNet,FcaNet (ResNet-50/ResNet-101 with Fca modules for frequency-domain channel attention),FPN enhanced with MSAM (Multiscale Spatial Attention Module),"Three heads: (1) Classification head, (2) OBB regression head, (3) Landmark regression head (wake tip + Kelvin arm directions using discrete RT layer)",768×768,SWIM,0.5,2.5,RGB,NA,RGB rendering; 768×768 tiling; Color distortion; Flips; Affine transforms,NVIDIA RTX 3090 24 GB,"AP = 91.66% (RetinaNet baseline = 86.43%); improved detection in clutter, better orientation prediction, robust to sun glint and weak wakes",Difficulty detecting overlapping wakes with identical heading/velocity; landmark head adds complexity; high annotation cost; not a ship detector,not provided,FALSE
69,2021,11,Shao et al,TASFF,Vessel Detection From Nighttime RS Imagery Based on DL,IEEE JSTAEORS,research,one stage,YOLOv5s,YOLOv5 CSPDarknet backbone (default YOLOv5s),Improved FPN + PAN with Tiny Target Detection Layer (P2) + four-layer ASFF (Adaptive Spatial Feature Fusion),Standard YOLOv5 detection heads with added tiny-object detection layer,640×640,VIIRSDNB,NA,NA,NA,512x512,Resizing,Intel(R)Core(TM)i7-8700CPU 32 GB NVIDIA GeForce RTX3080,"Precision = 95.2%, Recall = 93.1%, mAP@0.5 = 94.9%; strong improvement for small/weak-light vessels; fewest missed detections among compared models",VIIRS nighttime data has low spatial resolution; still limited ability to distinguish different kinds of light sources; small bright land lights require additional masking,only dataset,TRUE
70,2021,9,Wu et al,LRTSDet,Tiny Ship Detection in Low Resolution RS Images,Remote Sensing,research,one stage,RetinaNet,ResNet-50 (ImageNet pre-trained) with Group Normalization in heads,FPN (P3–P5) with inserted Filtered Feature Aggregation (FFA) modules in lateral/top-down connections,RetinaNet-style per-level detection heads (classification + box regression); each head is preceded by a HASP module (Hierarchical-Atrous Spatial Pyramid),512×512/800×800,GF1-LRSD/DOTAShip,16,16,Multispectral converted to 8-bit RGB (near-infrared band removed); 4-band raw → 3-channel processed,12000×12000,16-bit to 8-bit conversion with 2% truncated linear stretch; Cropping; Normalization; Random horizontal flip,8 on 2 RTX 2080Ti GPUs,"GF1-LRSD: AP = 83.87% (RetinaNet baseline ~79.75%); DOTA-Ship: AP ≈ 83.62%; clear gains from FFA (+1.29 AP), HASP (+0.83 AP), IoU-Joint loss (+0.79 AP), and GIoU regression (+0.75 AP); robustness in offshore/inshore; clouded scenes. Focused on detecting tiny small objects in low-resolution images. Model trained on custom dataset with low-resolution tiny ship detection in remote sensing images, called GF1-LRSD, in which the resolution (16 m) of images and the average size (10.9 ±3.0 pixels) of instances are much smaller than available datasets","Higher computational cost than the simplest baselines (reported FLOPs ~54.67 G, params ~32.53 M); some sensitivity to extremely adverse imaging (very thick clouds/occlusions); requires careful tile-cropping and high-quality annotation (high annotation cost for tiny instances)",https://github.com/Lausen-Ng/LR-TSDet,TRUE
71,2021,8,Hu et al,PAGYOLOv4,A Portable Attention Guided YOLO Network Small Ship Detection,Remote Sensing,research,one stage,YOLOv4,CSPDarknet53 (with SPP on top),FPN + PAN (standard YOLOv4 neck),YOLOv4 detection heads (single-stage multi-scale detection heads),512×512,MASATI,NA,NA,NA,Cropping at 512×512; ship targets are small within those tiles,Mosaic augmentation,4 GB RAM and NVIDIA Quadro RTX 4000 GPU,Best reported AP = 91.0% on MASATI (YOLOv4+DAFO + proposed loss); low false alarm rate FAR = 4.50%; real-time capable (reported ~70 FPS). Focused on small tiny ship detection. Improves the detection accuracy and does not introduce additional computational costs compared with the YOLOv4,"Adds attention modules (slight FPS drop vs baseline when only DAFO added), requires careful anchor tuning and dataset-specific settings; still susceptible to occlusion of scene elements; large-dynamic scale change and dense target distribution are all challenge",only dataset,TRUE
72,2021,7,Yin et al,RetinaNet,Ship Detection from Optical RS Imagery Based on Scene Classification and Saliency Tuned Retinanet,IEEE IGRSS,research,one stage,RetinaNet,ResNet-FPN (ResNet-50; FPN levels P3–P7),FPN with added Multi-Scale Saliency Feature Fusion Module (MSFM),RetinaNet classification + regression,512×512,(custom)/GF-1WFV/HRSC2016,NA,NA,NA,NA,NA,NA,"AP = 87.67% with SCM + MSFM; superior to RetinaNet-R (87.13%), RetinaNet-H (81.89%), and RoI-Transformer (87.32); effective in thin cloud, thick cloud, and shore scenes; saliency fusion improves discriminative features",Additional MSFM branches reduce speed (~9 FPS vs 10–14 FPS baselines); depends on manually engineered saliency and scene classification; four-model training increases computational cost,not provided,FALSE
73,2021,4,Wu et al,AMRNet,Arbitrary Oriented Ship Detection Using Attention Module Multi Scale Feature Fusion and Rotation Pseudo Label,IEEE Access,research,one stage,RetinaNet,ResNet-50 (ImageNet pre-trained),FPN + MFA (Multi-scale Feature Aggregation) + attention modules,Rotated RetinaNet detection heads (classification + bbox regression + angle regression),512x800,HRSC2016/DOTAShip,NA,NA,NA,NA,Rotationo augmentation,NVIDIA GTX 1080Ti GPU 12 GB,"HRSC2016: mAP = 90.32%; DOTA ship class: mAP = 78.65%; improves angle prediction via pseudo-labels; MFA improves multi-scale recall; strong gains over RetinaNet-H, RetinaNet-R, and RoI-Transformer",Pseudo-label generation may propagate errors; computational overhead from MFA + attention; orientation-dependent anchors increase training complexity,not provided,FALSE
74,2021,4,Tian et al,YOLOv3/MaskRCNN,Image Enhancement Driven by Object Characteristics and Dense Feature Reuse Network for Ship Target Detection in RS Imagery multiscale,Remote Sensing,research,one stage,YOLOv3/MaskRCNN,Darknet-53 for YOLOv3; ResNet-50 for Mask R-CNN,FPN + ASPP (as part of RFE module),YOLOv3 detection heads; Mask R-CNN detection + segmentation heads,NA,ChangGuang/SSDD,NA,NA,NA,NA,NA,NA,"Handles optical and radar data. AP improvements: On ChangGuang: YOLOv3 (79.32% AP), Mask-RCNN (87.39% AP); On SSDD: YOLOv3 (69.84%), Mask-RCNN (92.09%). Mask R-CNN performed better.",NA,not provided,FALSE
75,2021,2,Chen et al,NA,Based on Attention Mechanism for Fast and Accurate Ship Detection in Optical RS Images,Remote Sensing,research,one stage,YOLOv3,Darknet-53,Three-level FPN-style pyramid with added DAM attention branches,YOLOv3 detection heads at 3 scales (with DAM-refined features),608×608,MSD,NA,NA,Panchromatic,1000x1000,Resizing,NVIDIA GeForce GTX 1080 Ti GPU,"mAP = 85.07% on MSD; FPS = 28; large gains for small ships (AP +8% over YOLOv3); performs under clouds, waves, and inshore clutter",Slightly slower than SSD300; excludes extremely small ships (<10 px); additional DAM structure increases complexity,not provided,FALSE
76,2020,12,Yu et al,CR2ANet,A Cascade Rotated Anchor Aided Detector for Ship Detection in RS Images,IEEE TGRS,research,one stage,RetinaNet,ResNet-50 (ImageNet pre-trained) with FPN,"FPN (P3–P7) unchanged, but fed by cascade rotated-anchor refinements",Rotated RetinaNet heads with 3-stage cascade refinement (classification + rotated box regressors),800×800,DOTA/HRSC2016,NA,NA,NA,DOTA:800X800-4000×4000;HRSC2016:300×300-1500×900,Horizontal flipping; Random rotation augmentation,NA,On HRSC2016: mAP = 90.50%; on DOTA Ship: mAP = 79.14%; improved performance on objects with large aspect ratios and arbitrary orientations; cascade anchors reduce false positives,Lower FPS than single-stage RetinaNet-R due to 3-stage cascade; rotated anchors significantly increase computation; model is sensitive to anchor-angle design,not provided,FALSE
77,2020,5,Li et al,NA,A Novel CNN Based Method for Accurate Ship Detection in HR Optical RS Images via RBB,IEEE TGRS,research,one stage,FasterRCNN,ResNet-101 (ImageNet pre-trained),Feature Pyramid Network (FPN),RBB detection head: rotated Region Proposal Network + rotated RoI pooling + rotated bbox regression,800x,(custom),NA,NA,NA,1200×1200-2000×2000,Rotation augmentation; Horizontal flip,NA,"mAP = 90.67%; outstanding detection for densely arranged ships and large aspect ratios; rotated proposals reduce false positives significantly; outperforms Faster R-CNN, R²CNN, RRPN, FPN baseline",Performance degrades for extremely small ships (<8 px),not provided,FALSE
78,2025,9,Nandal et al,ImpYOLOv11/Transformer,YOLOv11 with transformer attention for real time monitoring of ships,Results in Engineering,research,hybrid,YOLOv11/Transformer,YOLOv11 backbone with C3K2 and C2PSA modules,SPPF + FPN (multi-scale feature fusion),Dynamic anchor-free prediction head (YOLOv11),640x640,KaggleShipsVesselsAerialImages,NA,NA,NA,NA,Resizing; Normalization,Server: Intel Xeon Gold 128GB RAM NVIDIA A100 NVMe SSD; Clients: NVIDIA RTX 3090/4090 32GB RAM SSD,"FL framework enables multiple edge devices to train collaboratively without direct access to sensitive data, which helps achieve user privacy for maritime monitoring applications. Dataset used adresses many challenges of ship detection. Accuracy: 95%; Recall: 90%; mAP50: 92%; mAP50–95: 54.7%. Detection of ships on vast oceanic expanses with minimal delay; Focus on ships even in complicated environments with occlusions, background noise, and densely packed conditions. Compared to other classical models such as YOLOv5, YOLOv8, and DETR, the proposed FL-based YOLOv11 model combined with transformer attention module demonstrated higher precision, recall, and mAP50 and mAP50–95 scores, ensuring more reliable ship detection across diverse categories of satellite images",Needs high-performance hardware. Still not validate its effectiveness in practical applications,not provided,TRUE
